Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,5.120V,5.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2560.000000,2640.000000
2,2560.000000,2640.000000
3,2560.000000,2560.000000
4,2640.000000,2560.000000
5,2560.000000,2560.000000
6,2640.000000,2640.000000
7,2640.000000,2560.000000
8,2640.000000,2640.000000
9,2640.000000,2560.000000
10,2640.000000,2640.000000
11,2640.000000,2560.000000
12,2640.000000,2640.000000
13,2640.000000,2560.000000
14,2640.000000,2640.000000
15,2560.000000,2640.000000
16,2560.000000,2640.000000
17,2560.000000,2640.000000
18,2640.000000,2640.000000
19,2640.000000,2640.000000
20,2640.000000,2640.000000
21,2560.000000,2640.000000
22,2560.000000,2560.000000
23,2640.000000,2560.000000
24,2560.000000,2640.000000
25,2640.000000,2560.000000
26,2640.000000,2640.000000
27,2560.000000,2560.000000
28,2560.000000,2560.000000
29,2560.000000,2640.000000
30,2640.000000,2560.000000
31,2640.000000,2640.000000
32,2560.000000,2640.000000
33,2560.000000,2560.000000
34,2560.000000,2640.000000
35,2640.000000,2560.000000
36,2640.000000,2560.000000
37,2640.000000,2640.000000
38,2560.000000,2640.000000
39,2640.000000,2640.000000
40,2560.000000,2640.000000
41,2640.000000,2640.000000
42,2640.000000,2560.000000
43,2560.000000,2560.000000
44,2560.000000,2640.000000
45,2560.000000,2560.000000
46,2640.000000,2560.000000
47,2640.000000,2560.000000
48,2560.000000,2640.000000
49,2560.000000,2560.000000
50,2560.000000,2640.000000
51,2640.000000,2560.000000
52,2560.000000,2560.000000
53,2560.000000,2560.000000
54,2640.000000,2560.000000
55,2560.000000,2640.000000
56,2560.000000,2640.000000
57,2560.000000,2560.000000
58,2640.000000,2640.000000
59,2640.000000,2640.000000
60,2560.000000,2640.000000
61,2640.000000,2640.000000
62,2640.000000,2640.000000
63,2560.000000,2640.000000
64,2560.000000,2560.000000
65,2560.000000,2640.000000
66,2640.000000,2560.000000
67,2560.000000,2560.000000
68,2640.000000,2560.000000
69,2640.000000,2560.000000
70,2560.000000,2560.000000
71,2560.000000,2560.000000
72,2560.000000,2560.000000
73,2640.000000,2640.000000
74,2640.000000,2640.000000
