Channel              :,CH1,CH2
Frequency            :,9.921Hz,  ?
Period               :,0.101s,  ?
PK-PK                :,4.120V,1.960V
Probe attenuation    :,10X,10X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2000.000000,-2040.000000
2,2000.000000,-2040.000000
3,1960.000000,-2040.000000
4,2000.000000,-2000.000000
5,2000.000000,-2040.000000
6,1960.000000,-2000.000000
7,1960.000000,-2000.000000
8,1960.000000,-2040.000000
9,1960.000000,-2040.000000
10,1960.000000,-2000.000000
11,2000.000000,-2040.000000
12,2000.000000,-2000.000000
13,2000.000000,-2040.000000
14,1960.000000,-2000.000000
15,2000.000000,-2040.000000
16,1960.000000,-2000.000000
17,1960.000000,-2040.000000
18,1960.000000,-2040.000000
19,1960.000000,-2000.000000
20,2000.000000,-2040.000000
21,1960.000000,-2040.000000
22,1960.000000,-2040.000000
23,1960.000000,-2040.000000
24,2000.000000,-2000.000000
25,1960.000000,-2000.000000
26,1960.000000,-2000.000000
27,2000.000000,-2040.000000
28,1960.000000,-2000.000000
29,2000.000000,-2040.000000
30,1960.000000,-2000.000000
31,1960.000000,-2000.000000
32,1960.000000,-2040.000000
33,2000.000000,-2040.000000
34,1960.000000,-2040.000000
35,1960.000000,-2040.000000
36,1960.000000,-2040.000000
37,1960.000000,-2000.000000
38,1960.000000,-2040.000000
39,1960.000000,-2000.000000
40,1960.000000,-2000.000000
41,1960.000000,-2000.000000
42,1960.000000,-2000.000000
43,1960.000000,-2000.000000
44,1960.000000,-2000.000000
45,1960.000000,-2040.000000
46,1960.000000,-2040.000000
47,1960.000000,-2040.000000
48,1960.000000,-2040.000000
49,1960.000000,-2000.000000
50,1960.000000,-2040.000000
51,1960.000000,-2000.000000
52,1960.000000,-2000.000000
53,1960.000000,-2000.000000
54,1960.000000,-2040.000000
55,1960.000000,-2040.000000
56,1960.000000,-2000.000000
57,1960.000000,-2040.000000
58,1960.000000,-2040.000000
59,1960.000000,-2000.000000
60,1960.000000,-2040.000000
61,1960.000000,-2040.000000
62,1960.000000,-2000.000000
63,1960.000000,-2040.000000
64,1960.000000,-2040.000000
65,1960.000000,-2000.000000
66,1960.000000,-2040.000000
67,1960.000000,-2000.000000
68,1960.000000,-2040.000000
69,1960.000000,-2040.000000
70,1960.000000,-2040.000000
71,1960.000000,-2040.000000
72,1960.000000,-2040.000000
73,1960.000000,-2000.000000
74,2000.000000,-2000.000000
75,1960.000000,-2040.000000
76,2000.000000,-2040.000000
77,1960.000000,-2000.000000
78,1960.000000,-2000.000000
79,1960.000000,-2040.000000
80,1960.000000,-2040.000000
81,1960.000000,-2040.000000
82,2000.000000,-2000.000000
83,1960.000000,-2000.000000
84,2000.000000,-2000.000000
85,1960.000000,-2000.000000
86,1960.000000,-2000.000000
87,1960.000000,-2040.000000
88,1960.000000,-2040.000000
89,2000.000000,-2000.000000
90,2000.000000,-2040.000000
91,1960.000000,-2000.000000
92,1960.000000,-2000.000000
93,2000.000000,-2000.000000
94,1960.000000,-2040.000000
95,1960.000000,-2040.000000
96,1960.000000,-2040.000000
97,1960.000000,-2040.000000
98,1960.000000,-2000.000000
99,1960.000000,-2000.000000
100,1960.000000,-2040.000000
101,1960.000000,-2000.000000
102,1960.000000,-2040.000000
103,1960.000000,-2000.000000
104,2000.000000,-2000.000000
105,1960.000000,-2040.000000
106,2000.000000,-2040.000000
107,2000.000000,-2000.000000
108,2000.000000,-2000.000000
109,2000.000000,-2000.000000
110,1960.000000,-2040.000000
111,1960.000000,-2000.000000
112,1960.000000,-2040.000000
113,1960.000000,-2000.000000
114,1960.000000,-2040.000000
115,1960.000000,-2040.000000
116,1960.000000,-2040.000000
117,1960.000000,-2040.000000
118,1960.000000,-2040.000000
119,1960.000000,-2040.000000
120,2000.000000,-2000.000000
121,1960.000000,-2000.000000
122,1960.000000,-2000.000000
123,1960.000000,-2040.000000
124,1960.000000,-2040.000000
125,1960.000000,-2040.000000
126,2000.000000,-2040.000000
127,1960.000000,-2000.000000
128,2000.000000,-2040.000000
129,1960.000000,-2040.000000
130,1960.000000,-2040.000000
131,1960.000000,-2040.000000
132,2000.000000,-2000.000000
133,2000.000000,-2040.000000
134,1960.000000,-2000.000000
135,1960.000000,-2000.000000
136,1960.000000,-2040.000000
137,2000.000000,-2040.000000
138,1960.000000,-2000.000000
139,1960.000000,-2040.000000
140,1960.000000,-2040.000000
141,1960.000000,-2040.000000
142,1960.000000,-2000.000000
143,1960.000000,-2000.000000
144,1960.000000,-2040.000000
145,1960.000000,-2040.000000
146,2000.000000,-2000.000000
147,2000.000000,-2000.000000
148,2000.000000,-2040.000000
149,1960.000000,-2000.000000
150,1960.000000,-2000.000000
151,1960.000000,-2040.000000
152,1960.000000,-2000.000000
153,1960.000000,-2000.000000
154,1960.000000,-2040.000000
155,1960.000000,-2040.000000
156,1960.000000,-2000.000000
157,1960.000000,-2040.000000
158,1960.000000,-2040.000000
159,1960.000000,-2000.000000
160,2000.000000,-2040.000000
161,2000.000000,-2040.000000
162,1960.000000,-2000.000000
163,1960.000000,-2040.000000
164,2000.000000,-2040.000000
165,1960.000000,-2040.000000
166,2000.000000,-2040.000000
167,2000.000000,-2040.000000
168,1960.000000,-2000.000000
169,2000.000000,-2040.000000
170,1960.000000,-2040.000000
171,1960.000000,-2040.000000
172,1960.000000,-2000.000000
173,1960.000000,-2040.000000
174,2000.000000,-2080.000000
175,1960.000000,-2000.000000
176,1960.000000,-2040.000000
177,1960.000000,-2000.000000
178,1960.000000,-2000.000000
179,1960.000000,-2000.000000
180,2000.000000,-2000.000000
181,1960.000000,-2000.000000
182,1960.000000,-2000.000000
183,1960.000000,-2040.000000
184,1960.000000,-2000.000000
185,2000.000000,-2000.000000
186,1960.000000,-2000.000000
187,1960.000000,-2040.000000
188,1960.000000,-2040.000000
